make,model,trailer_type,serial_number,license_number,trailer_state,trailer_description,empty_weight,registered_weight,regulation_weight
Chrysler,Imperial,non,GI41 TGBY IEB8 ZLBP FLJ1 3QM,184 ZMS,IL,Chrysler-Imperial License #: 184 ZMS,10440,17884,10840
Mitsubishi,Space,dolor,ME22 6628 6719 7562 6522 34,144 KDS,NY,Mitsubishi-Space License #: 144 KDS,14606,3849,2777
Pontiac,Bonneville,mattis,AD26 9635 5879 0OWF KJTP YOVI,271 KDH,MD,Pontiac-Bonneville License #: 271 KDH,4758,6467,16713
Mercury,Milan,nullam molestie,GT66 L1I3 HBLN MLJB 8BCN FN5Y PBK8,897 QVW,FL,Mercury-Milan License #: 897 QVW,12283,14348,3948
Chrysler,Sebring,dis,PS25 NVKC AXKQ MSXD PNH9 GOYB S1R4 C,602 NBG,TX,Chrysler-Sebring License #: 602 NBG,14685,19031,10784
Nissan,Titan,non lectus,PT57 9256 8645 0741 8816 3329 7,191 XSC,AL,Nissan-Titan License #: 191 XSC,9125,3730,12419
Chevrolet,Express 2500,luctus,ME30 7056 8627 2076 6311 71,097 IDO,FL,Chevrolet-Express 2500 License #: 097 IDO,18293,12704,7841
Buick,Riviera,mauris,FR10 2008 8833 46GJ 2LK7 ZNJW K09,641 WKU,IL,Buick-Riviera License #: 641 WKU,3195,4431,4668
Ford,Thunderbird,congue risus,DK50 9756 4413 5917 40,103 NZL,IL,Ford-Thunderbird License #: 103 NZL,3782,5163,19316
Ford,Ranger,luctus,IL60 3666 6167 2176 1793 703,370 VNT,IN,Ford-Ranger License #: 370 VNT,16260,16187,3425
Jeep,Grand Cherokee,quis,SM88 O879 7795 749N D8RS C1MK 57M,474 MNG,CA,Jeep-Grand Cherokee License #: 474 MNG,6006,13599,11766
Nissan,Pathfinder,id,BG81 TOYG 3333 24HK 9XJA FT,317 UTK,NV,Nissan-Pathfinder License #: 317 UTK,19743,18874,11841
Audi,A8,massa,LI59 4160 1RPX IQTY LSDN S,801 VJM,AZ,Audi-A8 License #: 801 VJM,14732,8073,17601
Mitsubishi,Lancer,sollicitudin,RO23 YYZZ O2VI 1Z5N MXIW HHLN,984 EYW,SC,Mitsubishi-Lancer License #: 984 EYW,4103,5354,8044
Mitsubishi,Pajero,dolor,FI32 6682 4867 5176 89,220 WRO,AL,Mitsubishi-Pajero License #: 220 WRO,17537,4395,10875
Buick,LaCrosse,nisl nunc,BE49 4690 7784 6238,369 CKG,MD,Buick-LaCrosse License #: 369 CKG,5482,12588,5006
Toyota,Camry,ligula nec,BH45 NIAK IJGB DHTY L8A3 U8,899 IWH,WV,Toyota-Camry License #: 899 IWH,15277,17918,2322
Dodge,Durango,at feugiat,GB33 KKDJ 7822 3618 8571 63,251 EHJ,OH,Dodge-Durango License #: 251 EHJ,18855,2250,15325
Mitsubishi,3000GT,magna,DO20 CY8A 9530 2701 6159 0559 9491,273 PTA,TX,Mitsubishi-3000GT License #: 273 PTA,14436,5856,11619
Eagle,Talon,orci luctus,MK31 209G OHVK GQJH 862,641 QOB,IN,Eagle-Talon License #: 641 QOB,15064,3102,15627
Infiniti,M,in,GT36 P9UA L1AQ T2RX 0DQB IZAM TRYT,801 YDR,NY,Infiniti-M License #: 801 YDR,3018,3711,6500
Ford,Ranger,tortor quis,FR56 9673 8749 37RE Q73L 6EKS Y96,378 BGQ,TX,Ford-Ranger License #: 378 BGQ,13203,16716,16814
Isuzu,Ascender,dis,CZ48 0716 0375 2374 7093 5653,115 XCY,OH,Isuzu-Ascender License #: 115 XCY,17057,3628,19155
Acura,Integra,morbi sem,GT53 IOMD GKLJ QJFT XVNJ ZPLB 4JYD,258 ION,TX,Acura-Integra License #: 258 ION,12675,12274,5464
BMW,6 Series,ac,SM74 E188 5857 5347 3XHI 3PJE DBQ,172 CZR,CO,BMW-6 Series License #: 172 CZR,6874,12186,12282
GMC,Safari,nonummy,FR27 4685 0197 25AO UEGT YQMO A04,973 MYR,KY,GMC-Safari License #: 973 MYR,15538,8986,4387
Ford,Tempo,lectus,FR40 1399 8944 74AB MW2R KNJU 585,054 VMZ,LA,Ford-Tempo License #: 054 VMZ,11510,7980,7033
Hummer,H1,elit proin,FR59 7757 8194 76EI UHG5 BJJI O04,200 XUZ,TX,Hummer-H1 License #: 200 XUZ,18271,7667,12159
Audi,5000CS,sed,FR34 5908 4079 9392 TQ0S EE2U J96,726 VJR,TN,Audi-5000CS License #: 726 VJR,16844,13249,18285
Volkswagen,Golf,vivamus,IE97 VIFM 9468 0216 0624 63,727 LUC,MA,Volkswagen-Golf License #: 727 LUC,6352,5813,17985
Nissan,Maxima,in,MT65 BPJH 9739 5MLY OKRH E01J WEM5 HW9,682 IJU,FL,Nissan-Maxima License #: 682 IJU,18675,11683,3766
Hummer,H1,consequat,AD52 8345 2430 N3QZ Y10C MFRT,771 BPZ,KS,Hummer-H1 License #: 771 BPZ,16864,18609,12883
Plymouth,Reliant,sem duis,DO23 LAPG 3246 4770 6038 0373 4146,601 HFV,AL,Plymouth-Reliant License #: 601 HFV,2342,15411,11687
Mercury,Sable,donec,BE18 8581 3840 4056,607 JGM,CA,Mercury-Sable License #: 607 JGM,9977,14113,15870
Mercury,Mystique,sem praesent,NO17 0406 9068 254,463 UXL,NV,Mercury-Mystique License #: 463 UXL,12743,6051,18442
Cadillac,Fleetwood,erat id,NL85 SDVO 6034 3415 99,001 PNV,FL,Cadillac-Fleetwood License #: 001 PNV,9172,6844,7316
Infiniti,FX,dictumst,FR21 9511 0528 14HY OZHW XEP7 314,018 EUN,TX,Infiniti-FX License #: 018 EUN,8076,13193,14495
Volvo,XC70,in,GT30 X4MN 7QNH O5NO CRJ7 P8TC H2TQ,504 KOD,CA,Volvo-XC70 License #: 504 KOD,19849,16673,16515
Infiniti,FX,maecenas rhoncus,FR33 5742 2358 35S1 YLCL Z4YC 785,401 KLA,PA,Infiniti-FX License #: 401 KLA,2226,17815,15987
Aston Martin,Vantage,erat,FR76 3155 1406 32BA EZ0E XSCQ 467,751 PXT,TX,Aston Martin-Vantage License #: 751 PXT,12468,5385,5393
BMW,7 Series,in,CY17 1149 3194 DN0Q ECZE GKKX INH6,325 CUN,LA,BMW-7 Series License #: 325 CUN,14032,11921,16820
Audi,S8,aliquet pulvinar,FR83 7770 5253 70JY OQYJ QUY8 254,692 VUG,FL,Audi-S8 License #: 692 VUG,6291,3265,16788
Chevrolet,Express 1500,nibh,IL71 1569 6942 3322 1251 759,276 VJT,OR,Chevrolet-Express 1500 License #: 276 VJT,12214,7733,8621
Mercedes-Benz,GL-Class,duis mattis,AZ31 FOTL SK3O VWSI XTXS TC92 0MIH,331 LHK,MD,Mercedes-Benz-GL-Class License #: 331 LHK,13526,3882,5363
GMC,Sierra,interdum in,PK05 ZZXD T4JF Y1NH MSGO AYJO,559 XVL,MO,GMC-Sierra License #: 559 XVL,2831,16789,5250
Mercury,Sable,odio odio,FR98 5308 3293 75PV LT2G KJLW M08,960 OMR,CT,Mercury-Sable License #: 960 OMR,19266,10536,4440
Ford,F-Series,venenatis,NO52 9686 6634 483,720 ART,TX,Ford-F-Series License #: 720 ART,14072,5994,13113
Pontiac,Grand Prix,curae duis,GT59 6M81 FMM1 KUHQ 1HBN LK7I YWHS,806 XKC,OH,Pontiac-Grand Prix License #: 806 XKC,14784,7420,9477
Honda,Odyssey,sed,AT38 5433 3076 6750 3576,148 TSM,NJ,Honda-Odyssey License #: 148 TSM,7333,14326,12489
Saab,9-3,ut tellus,GL37 8379 8455 8629 86,377 LXI,NC,Saab-9-3 License #: 377 LXI,10400,12855,10090
Suzuki,X-90,pretium quis,FR72 8308 0164 79CX 68C1 DTKX S93,998 VYZ,CA,Suzuki-X-90 License #: 998 VYZ,8548,13807,5367
GMC,Yukon,vivamus,TR42 7613 9QIN EP1I 72UM VVXE AR,998 FMN,CO,GMC-Yukon License #: 998 FMN,13134,12581,3603
Toyota,Sequoia,vestibulum,FR28 3481 9235 46AB RGCS IVWM F34,136 PVR,CA,Toyota-Sequoia License #: 136 PVR,9212,11274,3395
Suzuki,Swift,eu mi,GB08 LXGW 0530 6568 1545 33,273 WMI,KS,Suzuki-Swift License #: 273 WMI,11256,3814,17120
BMW,Z4,elit,MK48 485K UAHU ZVG7 678,315 OAQ,TX,BMW-Z4 License #: 315 OAQ,10623,10443,7926
Toyota,RAV4,orci pede,FR59 2551 4317 74YO PD97 4ZWN G51,077 MCY,NY,Toyota-RAV4 License #: 077 MCY,19849,5757,4331
Audi,A5,turpis nec,LV54 WALF SFV7 V1O2 MOHS N,040 JFE,IA,Audi-A5 License #: 040 JFE,14031,15932,14507
Buick,Electra,nam nulla,LU29 0297 T6PZ PADB VPQH,075 QDL,CA,Buick-Electra License #: 075 QDL,5207,13222,10511
Mercedes-Benz,SL-Class,vel,PL88 1049 2163 8147 4791 2762 3098,386 WIM,NY,Mercedes-Benz-SL-Class License #: 386 WIM,10538,4706,10790
Ford,F150,duis,SE86 6612 9822 8214 5039 6296,393 EPG,AZ,Ford-F150 License #: 393 EPG,10419,3839,16188
GMC,Yukon XL 1500,luctus,FR83 3722 9184 52CF RLIV DVBF Y49,939 OCZ,SC,GMC-Yukon XL 1500 License #: 939 OCZ,11935,5429,11795
Kia,Sportage,nisl,ES80 7653 8982 3100 6544 9994,539 OUH,AZ,Kia-Sportage License #: 539 OUH,16280,14725,18413
Audi,Cabriolet,lacus,FR51 1528 4810 05CM JGT4 X75B D41,334 NPY,AZ,Audi-Cabriolet License #: 334 NPY,11149,10241,17269
Chevrolet,Tahoe,sociis natoque,MU68 VEUF 9311 5034 9736 6073 250U XJ,996 QXO,FL,Chevrolet-Tahoe License #: 996 QXO,14642,2288,18736
Chevrolet,Colorado,fusce posuere,PK08 PHPF RKRS X15O SOYQ OVQF,205 RMF,MS,Chevrolet-Colorado License #: 205 RMF,5958,5635,6012
Pontiac,Grand Prix,orci,BR30 1695 3330 3750 7572 2104 966L R,994 FXW,TX,Pontiac-Grand Prix License #: 994 FXW,17399,7738,9775
Mazda,929,luctus,FO95 4156 7632 8404 42,323 SBN,TX,Mazda-929 License #: 323 SBN,17487,12719,17926
Mazda,RX-8,ultrices vel,FR45 1188 5035 0176 PPTD 4QBP Q91,729 ECK,GA,Mazda-RX-8 License #: 729 ECK,10308,16926,7825
GMC,Acadia,vestibulum proin,FR32 7849 4346 58DL P56O VX9M K31,427 RBO,NY,GMC-Acadia License #: 427 RBO,12811,18500,11998
Nissan,370Z,donec,FR59 8547 0460 1823 WFVN UGO9 J70,945 CQA,WA,Nissan-370Z License #: 945 CQA,19567,7429,14458
Mazda,MX-5,elementum,ME73 5198 3372 1135 3129 85,521 QSN,TX,Mazda-MX-5 License #: 521 QSN,18232,14787,10525
Mercedes-Benz,300E,ac,BE45 8750 3563 9058,582 CLR,TX,Mercedes-Benz-300E License #: 582 CLR,14539,3309,7839
Mazda,Familia,est lacinia,DE22 7963 3984 9918 8004 89,226 WON,OK,Mazda-Familia License #: 226 WON,10355,13063,8696
Ford,Crown Victoria,odio,IE42 LWUU 4822 2085 4944 66,636 FVD,CT,Ford-Crown Victoria License #: 636 FVD,12051,8410,5406
Jaguar,XK,curabitur,HU05 0711 5171 3375 6594 3929 7017,004 KRM,TN,Jaguar-XK License #: 004 KRM,16660,9878,6170
Mercedes-Benz,R-Class,cum sociis,ME61 0199 7482 7047 7226 01,085 HQK,TX,Mercedes-Benz-R-Class License #: 085 HQK,16602,14315,17266
Dodge,Caliber,elit,IT84 C675 3968 0242 OCML EYCP UTR,402 DRY,CT,Dodge-Caliber License #: 402 DRY,9826,12811,4648
Chevrolet,Express 2500,cum sociis,NO15 8672 1991 029,435 MEQ,WA,Chevrolet-Express 2500 License #: 435 MEQ,4886,18722,12994
Chevrolet,Corvair,natoque,FR82 2041 2548 30ZJ OW1N 2VJ3 V65,989 SQZ,FL,Chevrolet-Corvair License #: 989 SQZ,15108,19983,6255
Acura,ZDX,vulputate,FI37 8823 4089 0703 34,026 LXW,ID,Acura-ZDX License #: 026 LXW,6956,11759,9689
Acura,MDX,pharetra,AT81 1597 7278 1963 2083,203 DOJ,LA,Acura-MDX License #: 203 DOJ,15857,19041,6216
Ford,LTD Crown Victoria,non,CR32 3957 5272 8879 5413 6,422 ZBP,UT,Ford-LTD Crown Victoria License #: 422 ZBP,19766,3013,3508
Suzuki,SX4,scelerisque,EE08 0340 5455 7225 4142,375 LVJ,GA,Suzuki-SX4 License #: 375 LVJ,10254,15977,8712
Volkswagen,Cabriolet,justo,FR92 5768 8284 611W DKDY ZNGK 332,382 LYX,NC,Volkswagen-Cabriolet License #: 382 LYX,7944,19441,9494
Dodge,Caravan,non,SM21 I306 1090 133V 7SKM 2SF5 U5F,352 WLF,TX,Dodge-Caravan License #: 352 WLF,12969,12869,3442
BMW,Z3,parturient montes,FR26 3130 0303 48CA VPYC MIIW H09,034 NBV,FL,BMW-Z3 License #: 034 NBV,5425,18959,11199
Pontiac,G5,ut rhoncus,MC18 7940 9148 42KP TFWI RXVA E50,461 MZW,NY,Pontiac-G5 License #: 461 MZW,16250,10564,14916
Lexus,LS,lobortis ligula,TR81 9624 1EEY 6EB9 V3MP 4OTA 1F,536 JFZ,IL,Lexus-LS License #: 536 JFZ,5711,5937,15535
Ford,Explorer,auctor sed,CZ39 1177 7998 3097 3097 9596,936 VQG,TX,Ford-Explorer License #: 936 VQG,4183,17287,4927
Mitsubishi,Outlander,at,BH71 MSHN GIG6 WZMK RF98 2S,116 SOC,CA,Mitsubishi-Outlander License #: 116 SOC,14178,9229,8044
Lexus,SC,arcu sed,AE51 1660 6446 9699 3466 454,956 XMS,CA,Lexus-SC License #: 956 XMS,7796,7200,17034
Toyota,MR2,felis,MT44 HAMX 4278 94OW FGTI OGNR W9D6 XHC,126 WIU,OH,Toyota-MR2 License #: 126 WIU,2509,5206,19591
Nissan,Datsun/Nissan Z-car,suspendisse potenti,CZ25 8285 6115 1092 8442 3903,611 XKR,MT,Nissan-Datsun/Nissan Z-car License #: 611 XKR,18250,14214,6128
Chevrolet,Suburban 2500,ridiculus,AT19 2761 0916 6644 7979,574 ZJT,PA,Chevrolet-Suburban 2500 License #: 574 ZJT,17771,10343,18380
Mercury,Mountaineer,in,PS10 ZMAK LRQH DFF5 VMO0 YJPO 5HHE N,201 ZVE,FL,Mercury-Mountaineer License #: 201 ZVE,3142,11609,15834
BMW,Z4,pulvinar,IE90 MOTZ 5969 5323 9790 66,319 LGV,PA,BMW-Z4 License #: 319 LGV,7663,19635,17469
Nissan,Stanza,montes,TN29 1011 9262 5095 9212 9974,970 YQE,SC,Nissan-Stanza License #: 970 YQE,14202,4713,10362
